"","Phecode","ICD","ICD910","code"
"191","008_5","ICD9:004.1","ICD9","0041"
"192","008_5","ICD9:004.2","ICD9","0042"
"193","008_5","ICD9:004.3","ICD9","0043"
"194","008_5","ICD9:004.8","ICD9","0048"
"195","008_5","ICD9:004.9","ICD9","0049"
"196","008_5","ICD9:005","ICD9","005"
"197","008_5","ICD9:005.0","ICD9","0050"
"198","008_5","ICD9:005.1","ICD9","0051"
"199","008_5","ICD9:005.2","ICD9","0052"
"200","008_5","ICD9:005.3","ICD9","0053"
"201","008_5","ICD9:005.4","ICD9","0054"
"202","008_5","ICD9:005.8","ICD9","0058"
"203","008_5","ICD9:005.81","ICD9","00581"
"204","008_5","ICD9:005.89","ICD9","00589"
"205","008_5","ICD9:008.1","ICD9","0081"
"206","008_5","ICD9:008.2","ICD9","0082"
"207","008_5","ICD9:008.3","ICD9","0083"
"208","008_5","ICD9:008.4","ICD9","0084"
"209","008_5","ICD9:008.41","ICD9","00841"
"210","008_5","ICD9:008.42","ICD9","00842"
"211","008_5","ICD9:008.43","ICD9","00843"
"212","008_5","ICD9:008.44","ICD9","00844"
"213","008_5","ICD9:008.46","ICD9","00846"
"214","008_5","ICD9:008.47","ICD9","00847"
"215","008_5","ICD9:008.49","ICD9","00849"
"216","008_5","ICD9:008.5","ICD9","0085"
"251","008_5","ICD9:008.0","ICD9","0080"
"252","008_5","ICD9:008.00","ICD9","00800"
"253","008_5","ICD9:008.01","ICD9","00801"
"254","008_5","ICD9:008.02","ICD9","00802"
"255","008_5","ICD9:008.03","ICD9","00803"
"256","008_5","ICD9:008.04","ICD9","00804"
"257","008_5","ICD9:008.09","ICD9","00809"
"263","008_5","ICD9:008.45","ICD9","00845"
"267","008_51","ICD9:008.0","ICD9","0080"
"268","008_51","ICD9:008.00","ICD9","00800"
"269","008_51","ICD9:008.01","ICD9","00801"
"270","008_51","ICD9:008.02","ICD9","00802"
"271","008_51","ICD9:008.03","ICD9","00803"
"272","008_51","ICD9:008.04","ICD9","00804"
"273","008_51","ICD9:008.09","ICD9","00809"
"279","008_52","ICD9:008.45","ICD9","00845"
"283","008_6","ICD9:008.6","ICD9","0086"
"284","008_6","ICD9:008.61","ICD9","00861"
"285","008_6","ICD9:008.62","ICD9","00862"
"286","008_6","ICD9:008.63","ICD9","00863"
"287","008_6","ICD9:008.64","ICD9","00864"
"288","008_6","ICD9:008.65","ICD9","00865"
"289","008_6","ICD9:008.66","ICD9","00866"
"290","008_6","ICD9:008.67","ICD9","00867"
"291","008_6","ICD9:008.69","ICD9","00869"
"292","008_6","ICD9:008.8","ICD9","0088"
"305","008_7","ICD9:006.1","ICD9","0061"
"306","008_7","ICD9:007.0","ICD9","0070"
"307","008_7","ICD9:007.1","ICD9","0071"
"308","008_7","ICD9:007.4","ICD9","0074"
"309","008_7","ICD9:007.8","ICD9","0078"
"315","010_","ICD9:010","ICD9","010"
"316","010_","ICD9:010.0","ICD9","0100"
"317","010_","ICD9:010.00","ICD9","01000"
"318","010_","ICD9:010.01","ICD9","01001"
"319","010_","ICD9:010.02","ICD9","01002"
"320","010_","ICD9:010.03","ICD9","01003"
"321","010_","ICD9:010.04","ICD9","01004"
"322","010_","ICD9:010.05","ICD9","01005"
"323","010_","ICD9:010.06","ICD9","01006"
"324","010_","ICD9:010.1","ICD9","0101"
"325","010_","ICD9:010.10","ICD9","01010"
"326","010_","ICD9:010.11","ICD9","01011"
"327","010_","ICD9:010.12","ICD9","01012"
"328","010_","ICD9:010.13","ICD9","01013"
"329","010_","ICD9:010.14","ICD9","01014"
"330","010_","ICD9:010.15","ICD9","01015"
"331","010_","ICD9:010.16","ICD9","01016"
"332","010_","ICD9:010.8","ICD9","0108"
"333","010_","ICD9:010.80","ICD9","01080"
"334","010_","ICD9:010.81","ICD9","01081"
"335","010_","ICD9:010.82","ICD9","01082"
"336","010_","ICD9:010.83","ICD9","01083"
"337","010_","ICD9:010.84","ICD9","01084"
"338","010_","ICD9:010.85","ICD9","01085"
"339","010_","ICD9:010.86","ICD9","01086"
"340","010_","ICD9:010.9","ICD9","0109"
"341","010_","ICD9:010.90","ICD9","01090"
"342","010_","ICD9:010.91","ICD9","01091"
"343","010_","ICD9:010.92","ICD9","01092"
"344","010_","ICD9:010.93","ICD9","01093"
"345","010_","ICD9:010.94","ICD9","01094"
"346","010_","ICD9:010.95","ICD9","01095"
"347","010_","ICD9:010.96","ICD9","01096"
"348","010_","ICD9:011","ICD9","011"
"349","010_","ICD9:011.0","ICD9","0110"
"350","010_","ICD9:011.00","ICD9","01100"
"351","010_","ICD9:011.01","ICD9","01101"
"352","010_","ICD9:011.02","ICD9","01102"
"353","010_","ICD9:011.03","ICD9","01103"
"354","010_","ICD9:011.04","ICD9","01104"
"355","010_","ICD9:011.05","ICD9","01105"
"356","010_","ICD9:011.06","ICD9","01106"
"357","010_","ICD9:011.1","ICD9","0111"
"358","010_","ICD9:011.10","ICD9","01110"
"359","010_","ICD9:011.11","ICD9","01111"
"360","010_","ICD9:011.12","ICD9","01112"
"361","010_","ICD9:011.13","ICD9","01113"
"362","010_","ICD9:011.14","ICD9","01114"
"363","010_","ICD9:011.15","ICD9","01115"
"364","010_","ICD9:011.16","ICD9","01116"
"365","010_","ICD9:011.2","ICD9","0112"
"366","010_","ICD9:011.20","ICD9","01120"
"367","010_","ICD9:011.21","ICD9","01121"
"368","010_","ICD9:011.22","ICD9","01122"
"369","010_","ICD9:011.23","ICD9","01123"
"370","010_","ICD9:011.24","ICD9","01124"
"371","010_","ICD9:011.25","ICD9","01125"
"372","010_","ICD9:011.26","ICD9","01126"
"373","010_","ICD9:011.3","ICD9","0113"
"374","010_","ICD9:011.30","ICD9","01130"
"375","010_","ICD9:011.31","ICD9","01131"
"376","010_","ICD9:011.32","ICD9","01132"
"377","010_","ICD9:011.33","ICD9","01133"
"378","010_","ICD9:011.34","ICD9","01134"
"379","010_","ICD9:011.35","ICD9","01135"
"380","010_","ICD9:011.36","ICD9","01136"
"381","010_","ICD9:011.4","ICD9","0114"
"382","010_","ICD9:011.40","ICD9","01140"
"383","010_","ICD9:011.41","ICD9","01141"
"384","010_","ICD9:011.42","ICD9","01142"
"385","010_","ICD9:011.43","ICD9","01143"
"386","010_","ICD9:011.44","ICD9","01144"
"387","010_","ICD9:011.45","ICD9","01145"
"388","010_","ICD9:011.46","ICD9","01146"
"389","010_","ICD9:011.5","ICD9","0115"
"390","010_","ICD9:011.50","ICD9","01150"
"391","010_","ICD9:011.51","ICD9","01151"
"392","010_","ICD9:011.52","ICD9","01152"
"393","010_","ICD9:011.53","ICD9","01153"
"394","010_","ICD9:011.54","ICD9","01154"
"395","010_","ICD9:011.55","ICD9","01155"
"396","010_","ICD9:011.56","ICD9","01156"
"397","010_","ICD9:011.6","ICD9","0116"
"398","010_","ICD9:011.60","ICD9","01160"
"399","010_","ICD9:011.61","ICD9","01161"
"400","010_","ICD9:011.62","ICD9","01162"
"401","010_","ICD9:011.63","ICD9","01163"
"402","010_","ICD9:011.64","ICD9","01164"
"403","010_","ICD9:011.65","ICD9","01165"
"404","010_","ICD9:011.66","ICD9","01166"
"405","010_","ICD9:011.7","ICD9","0117"
"406","010_","ICD9:011.70","ICD9","01170"
"407","010_","ICD9:011.71","ICD9","01171"
"408","010_","ICD9:011.72","ICD9","01172"
"409","010_","ICD9:011.73","ICD9","01173"
"410","010_","ICD9:011.74","ICD9","01174"
"411","010_","ICD9:011.75","ICD9","01175"
"412","010_","ICD9:011.76","ICD9","01176"
"413","010_","ICD9:011.8","ICD9","0118"
"414","010_","ICD9:011.80","ICD9","01180"
"415","010_","ICD9:011.81","ICD9","01181"
"416","010_","ICD9:011.82","ICD9","01182"
"417","010_","ICD9:011.83","ICD9","01183"
"418","010_","ICD9:011.84","ICD9","01184"
"419","010_","ICD9:011.85","ICD9","01185"
"420","010_","ICD9:011.86","ICD9","01186"
"421","010_","ICD9:011.9","ICD9","0119"
"422","010_","ICD9:011.90","ICD9","01190"
"423","010_","ICD9:011.91","ICD9","01191"
"424","010_","ICD9:011.92","ICD9","01192"
"425","010_","ICD9:011.93","ICD9","01193"
"426","010_","ICD9:011.94","ICD9","01194"
"427","010_","ICD9:011.95","ICD9","01195"
"428","010_","ICD9:011.96","ICD9","01196"
"429","010_","ICD9:012","ICD9","012"
"430","010_","ICD9:012.0","ICD9","0120"
"431","010_","ICD9:012.00","ICD9","01200"
"432","010_","ICD9:012.01","ICD9","01201"
"433","010_","ICD9:012.02","ICD9","01202"
"434","010_","ICD9:012.03","ICD9","01203"
"435","010_","ICD9:012.04","ICD9","01204"
"436","010_","ICD9:012.05","ICD9","01205"
"437","010_","ICD9:012.06","ICD9","01206"
"438","010_","ICD9:012.1","ICD9","0121"
"439","010_","ICD9:012.10","ICD9","01210"
"440","010_","ICD9:012.11","ICD9","01211"
"441","010_","ICD9:012.12","ICD9","01212"
"442","010_","ICD9:012.13","ICD9","01213"
"443","010_","ICD9:012.14","ICD9","01214"
"444","010_","ICD9:012.15","ICD9","01215"
"445","010_","ICD9:012.16","ICD9","01216"
"446","010_","ICD9:012.2","ICD9","0122"
"447","010_","ICD9:012.20","ICD9","01220"
"448","010_","ICD9:012.21","ICD9","01221"
"449","010_","ICD9:012.22","ICD9","01222"
"450","010_","ICD9:012.23","ICD9","01223"
"451","010_","ICD9:012.24","ICD9","01224"
"452","010_","ICD9:012.25","ICD9","01225"
"453","010_","ICD9:012.26","ICD9","01226"
"454","010_","ICD9:012.3","ICD9","0123"
"455","010_","ICD9:012.30","ICD9","01230"
"456","010_","ICD9:012.31","ICD9","01231"
"457","010_","ICD9:012.32","ICD9","01232"
"458","010_","ICD9:012.33","ICD9","01233"
"459","010_","ICD9:012.34","ICD9","01234"
"460","010_","ICD9:012.35","ICD9","01235"
"461","010_","ICD9:012.36","ICD9","01236"
"462","010_","ICD9:012.8","ICD9","0128"
"463","010_","ICD9:012.80","ICD9","01280"
"464","010_","ICD9:012.81","ICD9","01281"
"465","010_","ICD9:012.82","ICD9","01282"
"466","010_","ICD9:012.83","ICD9","01283"
"467","010_","ICD9:012.84","ICD9","01284"
"468","010_","ICD9:012.85","ICD9","01285"
"469","010_","ICD9:012.86","ICD9","01286"
"470","010_","ICD9:013","ICD9","013"
"471","010_","ICD9:013.0","ICD9","0130"
"472","010_","ICD9:013.00","ICD9","01300"
"473","010_","ICD9:013.01","ICD9","01301"
"474","010_","ICD9:013.02","ICD9","01302"
"475","010_","ICD9:013.03","ICD9","01303"
"476","010_","ICD9:013.04","ICD9","01304"
"477","010_","ICD9:013.05","ICD9","01305"
"478","010_","ICD9:013.06","ICD9","01306"
"479","010_","ICD9:013.1","ICD9","0131"
"480","010_","ICD9:013.10","ICD9","01310"
"481","010_","ICD9:013.11","ICD9","01311"
"482","010_","ICD9:013.12","ICD9","01312"
"483","010_","ICD9:013.13","ICD9","01313"
"484","010_","ICD9:013.14","ICD9","01314"
"485","010_","ICD9:013.15","ICD9","01315"
"486","010_","ICD9:013.16","ICD9","01316"
"487","010_","ICD9:013.2","ICD9","0132"
"488","010_","ICD9:013.20","ICD9","01320"
"489","010_","ICD9:013.21","ICD9","01321"
"490","010_","ICD9:013.22","ICD9","01322"
"491","010_","ICD9:013.23","ICD9","01323"
"492","010_","ICD9:013.24","ICD9","01324"
"493","010_","ICD9:013.25","ICD9","01325"
"494","010_","ICD9:013.26","ICD9","01326"
"495","010_","ICD9:013.3","ICD9","0133"
"496","010_","ICD9:013.30","ICD9","01330"
"497","010_","ICD9:013.31","ICD9","01331"
"498","010_","ICD9:013.32","ICD9","01332"
"499","010_","ICD9:013.33","ICD9","01333"
"500","010_","ICD9:013.34","ICD9","01334"
"501","010_","ICD9:013.35","ICD9","01335"
"502","010_","ICD9:013.36","ICD9","01336"
"503","010_","ICD9:013.4","ICD9","0134"
"504","010_","ICD9:013.40","ICD9","01340"
"505","010_","ICD9:013.41","ICD9","01341"
"506","010_","ICD9:013.42","ICD9","01342"
"507","010_","ICD9:013.43","ICD9","01343"
"508","010_","ICD9:013.44","ICD9","01344"
"509","010_","ICD9:013.45","ICD9","01345"
"510","010_","ICD9:013.46","ICD9","01346"
"511","010_","ICD9:013.5","ICD9","0135"
"512","010_","ICD9:013.50","ICD9","01350"
"513","010_","ICD9:013.51","ICD9","01351"
"514","010_","ICD9:013.52","ICD9","01352"
"515","010_","ICD9:013.53","ICD9","01353"
"516","010_","ICD9:013.54","ICD9","01354"
"517","010_","ICD9:013.55","ICD9","01355"
"518","010_","ICD9:013.56","ICD9","01356"
"519","010_","ICD9:013.6","ICD9","0136"
"520","010_","ICD9:013.60","ICD9","01360"
"521","010_","ICD9:013.61","ICD9","01361"
"522","010_","ICD9:013.62","ICD9","01362"
"523","010_","ICD9:013.63","ICD9","01363"
"524","010_","ICD9:013.64","ICD9","01364"
"525","010_","ICD9:013.65","ICD9","01365"
"526","010_","ICD9:013.66","ICD9","01366"
"527","010_","ICD9:013.8","ICD9","0138"
"528","010_","ICD9:013.80","ICD9","01380"
"529","010_","ICD9:013.81","ICD9","01381"
"530","010_","ICD9:013.82","ICD9","01382"
"531","010_","ICD9:013.83","ICD9","01383"
"532","010_","ICD9:013.84","ICD9","01384"
"533","010_","ICD9:013.85","ICD9","01385"
"534","010_","ICD9:013.86","ICD9","01386"
"535","010_","ICD9:013.9","ICD9","0139"
"536","010_","ICD9:013.90","ICD9","01390"
"537","010_","ICD9:013.91","ICD9","01391"
"538","010_","ICD9:013.92","ICD9","01392"
"539","010_","ICD9:013.93","ICD9","01393"
"540","010_","ICD9:013.94","ICD9","01394"
"541","010_","ICD9:013.95","ICD9","01395"
"542","010_","ICD9:013.96","ICD9","01396"
"543","010_","ICD9:014","ICD9","014"
"544","010_","ICD9:014.0","ICD9","0140"
"545","010_","ICD9:014.00","ICD9","01400"
"546","010_","ICD9:014.01","ICD9","01401"
"547","010_","ICD9:014.02","ICD9","01402"
"548","010_","ICD9:014.03","ICD9","01403"
"549","010_","ICD9:014.04","ICD9","01404"
"550","010_","ICD9:014.05","ICD9","01405"
"551","010_","ICD9:014.06","ICD9","01406"
"552","010_","ICD9:014.8","ICD9","0148"
"553","010_","ICD9:014.80","ICD9","01480"
"554","010_","ICD9:014.81","ICD9","01481"
"555","010_","ICD9:014.82","ICD9","01482"
"556","010_","ICD9:014.83","ICD9","01483"
"557","010_","ICD9:014.84","ICD9","01484"
"558","010_","ICD9:014.85","ICD9","01485"
"559","010_","ICD9:014.86","ICD9","01486"
"560","010_","ICD9:015","ICD9","015"
"561","010_","ICD9:015.0","ICD9","0150"
"562","010_","ICD9:015.00","ICD9","01500"
"563","010_","ICD9:015.01","ICD9","01501"
"564","010_","ICD9:015.02","ICD9","01502"
"565","010_","ICD9:015.03","ICD9","01503"
"566","010_","ICD9:015.04","ICD9","01504"
"567","010_","ICD9:015.05","ICD9","01505"
"568","010_","ICD9:015.06","ICD9","01506"
"569","010_","ICD9:015.1","ICD9","0151"
"570","010_","ICD9:015.10","ICD9","01510"
"571","010_","ICD9:015.11","ICD9","01511"
"572","010_","ICD9:015.12","ICD9","01512"
"573","010_","ICD9:015.13","ICD9","01513"
"574","010_","ICD9:015.14","ICD9","01514"
"575","010_","ICD9:015.15","ICD9","01515"
"576","010_","ICD9:015.16","ICD9","01516"
"577","010_","ICD9:015.2","ICD9","0152"
"578","010_","ICD9:015.20","ICD9","01520"
"579","010_","ICD9:015.21","ICD9","01521"
"580","010_","ICD9:015.22","ICD9","01522"
"581","010_","ICD9:015.23","ICD9","01523"
"582","010_","ICD9:015.24","ICD9","01524"
"583","010_","ICD9:015.25","ICD9","01525"
"584","010_","ICD9:015.26","ICD9","01526"
"585","010_","ICD9:015.5","ICD9","0155"
"586","010_","ICD9:015.50","ICD9","01550"
"587","010_","ICD9:015.51","ICD9","01551"
"588","010_","ICD9:015.52","ICD9","01552"
"589","010_","ICD9:015.53","ICD9","01553"
"590","010_","ICD9:015.54","ICD9","01554"
"591","010_","ICD9:015.55","ICD9","01555"
"592","010_","ICD9:015.56","ICD9","01556"
"593","010_","ICD9:015.6","ICD9","0156"
"594","010_","ICD9:015.60","ICD9","01560"
"595","010_","ICD9:015.61","ICD9","01561"
"596","010_","ICD9:015.62","ICD9","01562"
"597","010_","ICD9:015.63","ICD9","01563"
"598","010_","ICD9:015.64","ICD9","01564"
"599","010_","ICD9:015.65","ICD9","01565"
"600","010_","ICD9:015.66","ICD9","01566"
"601","010_","ICD9:015.7","ICD9","0157"
"602","010_","ICD9:015.70","ICD9","01570"
"603","010_","ICD9:015.71","ICD9","01571"
"604","010_","ICD9:015.72","ICD9","01572"
"605","010_","ICD9:015.73","ICD9","01573"
"606","010_","ICD9:015.74","ICD9","01574"
"607","010_","ICD9:015.75","ICD9","01575"
"608","010_","ICD9:015.76","ICD9","01576"
"609","010_","ICD9:015.8","ICD9","0158"
"610","010_","ICD9:015.80","ICD9","01580"
"611","010_","ICD9:015.81","ICD9","01581"
"612","010_","ICD9:015.82","ICD9","01582"
"613","010_","ICD9:015.83","ICD9","01583"
"614","010_","ICD9:015.84","ICD9","01584"
"615","010_","ICD9:015.85","ICD9","01585"
"616","010_","ICD9:015.86","ICD9","01586"
"617","010_","ICD9:015.9","ICD9","0159"
"618","010_","ICD9:015.90","ICD9","01590"
"619","010_","ICD9:015.91","ICD9","01591"
"620","010_","ICD9:015.92","ICD9","01592"
"621","010_","ICD9:015.93","ICD9","01593"
"622","010_","ICD9:015.94","ICD9","01594"
"623","010_","ICD9:015.95","ICD9","01595"
"624","010_","ICD9:015.96","ICD9","01596"
"625","010_","ICD9:016","ICD9","016"
"626","010_","ICD9:016.0","ICD9","0160"
"627","010_","ICD9:016.00","ICD9","01600"
"628","010_","ICD9:016.01","ICD9","01601"
"629","010_","ICD9:016.02","ICD9","01602"
"630","010_","ICD9:016.03","ICD9","01603"
"631","010_","ICD9:016.04","ICD9","01604"
"632","010_","ICD9:016.05","ICD9","01605"
"633","010_","ICD9:016.06","ICD9","01606"
"634","010_","ICD9:016.1","ICD9","0161"
"635","010_","ICD9:016.10","ICD9","01610"
"636","010_","ICD9:016.11","ICD9","01611"
"637","010_","ICD9:016.12","ICD9","01612"
"638","010_","ICD9:016.13","ICD9","01613"
"639","010_","ICD9:016.14","ICD9","01614"
"640","010_","ICD9:016.15","ICD9","01615"
"641","010_","ICD9:016.16","ICD9","01616"
"642","010_","ICD9:016.2","ICD9","0162"
"643","010_","ICD9:016.20","ICD9","01620"
"644","010_","ICD9:016.21","ICD9","01621"
"645","010_","ICD9:016.22","ICD9","01622"
"646","010_","ICD9:016.23","ICD9","01623"
"647","010_","ICD9:016.24","ICD9","01624"
"648","010_","ICD9:016.25","ICD9","01625"
"649","010_","ICD9:016.26","ICD9","01626"
"650","010_","ICD9:016.3","ICD9","0163"
"651","010_","ICD9:016.30","ICD9","01630"
"652","010_","ICD9:016.31","ICD9","01631"
"653","010_","ICD9:016.32","ICD9","01632"
"654","010_","ICD9:016.33","ICD9","01633"
"655","010_","ICD9:016.34","ICD9","01634"
"656","010_","ICD9:016.35","ICD9","01635"
"657","010_","ICD9:016.36","ICD9","01636"
"658","010_","ICD9:016.4","ICD9","0164"
"659","010_","ICD9:016.40","ICD9","01640"
"660","010_","ICD9:016.41","ICD9","01641"
"661","010_","ICD9:016.42","ICD9","01642"
"662","010_","ICD9:016.43","ICD9","01643"
"663","010_","ICD9:016.44","ICD9","01644"
"664","010_","ICD9:016.45","ICD9","01645"
"665","010_","ICD9:016.46","ICD9","01646"
"666","010_","ICD9:016.5","ICD9","0165"
"667","010_","ICD9:016.50","ICD9","01650"
"668","010_","ICD9:016.51","ICD9","01651"
"669","010_","ICD9:016.52","ICD9","01652"
"670","010_","ICD9:016.53","ICD9","01653"
"671","010_","ICD9:016.54","ICD9","01654"
"672","010_","ICD9:016.55","ICD9","01655"
"673","010_","ICD9:016.56","ICD9","01656"
"674","010_","ICD9:016.6","ICD9","0166"
"675","010_","ICD9:016.60","ICD9","01660"
"676","010_","ICD9:016.61","ICD9","01661"
"677","010_","ICD9:016.62","ICD9","01662"
"678","010_","ICD9:016.63","ICD9","01663"
"679","010_","ICD9:016.64","ICD9","01664"
"680","010_","ICD9:016.65","ICD9","01665"
"681","010_","ICD9:016.66","ICD9","01666"
"682","010_","ICD9:016.7","ICD9","0167"
"683","010_","ICD9:016.70","ICD9","01670"
"684","010_","ICD9:016.71","ICD9","01671"
"685","010_","ICD9:016.72","ICD9","01672"
"686","010_","ICD9:016.73","ICD9","01673"
"687","010_","ICD9:016.74","ICD9","01674"
"688","010_","ICD9:016.75","ICD9","01675"
"689","010_","ICD9:016.76","ICD9","01676"
"690","010_","ICD9:016.9","ICD9","0169"
"691","010_","ICD9:016.90","ICD9","01690"
"692","010_","ICD9:016.91","ICD9","01691"
"693","010_","ICD9:016.92","ICD9","01692"
"694","010_","ICD9:016.93","ICD9","01693"
"695","010_","ICD9:016.94","ICD9","01694"
"696","010_","ICD9:016.95","ICD9","01695"
"697","010_","ICD9:016.96","ICD9","01696"
"698","010_","ICD9:017","ICD9","017"
"699","010_","ICD9:017.0","ICD9","0170"
"700","010_","ICD9:017.00","ICD9","01700"
"701","010_","ICD9:017.01","ICD9","01701"
"702","010_","ICD9:017.02","ICD9","01702"
"703","010_","ICD9:017.03","ICD9","01703"
"704","010_","ICD9:017.04","ICD9","01704"
"705","010_","ICD9:017.05","ICD9","01705"
"706","010_","ICD9:017.06","ICD9","01706"
"707","010_","ICD9:017.1","ICD9","0171"
"708","010_","ICD9:017.10","ICD9","01710"
"709","010_","ICD9:017.11","ICD9","01711"
"710","010_","ICD9:017.12","ICD9","01712"
"711","010_","ICD9:017.13","ICD9","01713"
"712","010_","ICD9:017.14","ICD9","01714"
"713","010_","ICD9:017.15","ICD9","01715"
"714","010_","ICD9:017.16","ICD9","01716"
"715","010_","ICD9:017.2","ICD9","0172"
"716","010_","ICD9:017.20","ICD9","01720"
"717","010_","ICD9:017.21","ICD9","01721"
"718","010_","ICD9:017.22","ICD9","01722"
"719","010_","ICD9:017.23","ICD9","01723"
"720","010_","ICD9:017.24","ICD9","01724"
"721","010_","ICD9:017.25","ICD9","01725"
"722","010_","ICD9:017.26","ICD9","01726"
"723","010_","ICD9:017.3","ICD9","0173"
"724","010_","ICD9:017.30","ICD9","01730"
"725","010_","ICD9:017.31","ICD9","01731"
"726","010_","ICD9:017.32","ICD9","01732"
"727","010_","ICD9:017.33","ICD9","01733"
"728","010_","ICD9:017.34","ICD9","01734"
"729","010_","ICD9:017.35","ICD9","01735"
"730","010_","ICD9:017.36","ICD9","01736"
"731","010_","ICD9:017.4","ICD9","0174"
"732","010_","ICD9:017.40","ICD9","01740"
"733","010_","ICD9:017.41","ICD9","01741"
"734","010_","ICD9:017.42","ICD9","01742"
"735","010_","ICD9:017.43","ICD9","01743"
"736","010_","ICD9:017.44","ICD9","01744"
"737","010_","ICD9:017.45","ICD9","01745"
